index	time
Haystack	1.7249279022216797
Haystack	2.033649444580078
Haystack	2.046419143676758
Haystack	1.8028085231781006
Haystack	1.6964237689971924
Haystack	2.149965524673462
Haystack	1.5450727939605713
Haystack	1.8228907585144043
Haystack	1.5201799869537354
Haystack	2.2656235694885254
Moles	8.294914722442627
Moles	8.691290616989136
Moles	7.629188299179077
Moles	8.190269947052002
Moles	8.533275365829468
Moles	8.136348247528076
Moles	9.04011845588684
Moles	9.231327533721924
Moles	7.261450529098511
Moles	7.304455280303955
